started_at,runtime
2017-09-18 15:30:37.226139,361.0
2017-07-14 12:40:43.433480,718.0
2017-07-11 09:05:35.327592,151.0
2017-07-12 14:21:12.245333,389.0
2017-08-01 04:05:52.620993,1774.0
2017-09-09 01:30:36.698030,722.0
2017-09-18 01:20:34.288025,237.0
2017-07-19 17:20:52.629945,530.0
2017-07-05 15:25:36.369374,711.0
2017-07-30 05:55:42.745905,756.0
2017-07-17 10:55:39.150643,909.0
2017-08-19 15:51:31.259208,196.0
2017-08-08 15:26:03.061722,51.0
2017-09-08 18:20:42.658695,932.0
2017-09-11 16:45:31.637298,76.0
2017-07-04 11:45:45.552209,779.0
2017-07-01 06:21:05.113504,881.0
2017-09-24 04:15:32.501716,289.0
2017-07-03 11:40:37.834536,464.0
2017-08-03 11:25:27.222799,29.0
2017-07-07 15:45:35.840488,393.0
2017-07-11 23:51:09.133375,695.0
2017-07-02 00:35:36.307329,153.0
2017-07-11 07:11:01.385331,723.0
2017-09-05 18:45:31.915959,342.0
2017-08-28 05:50:39.521822,195.0
2017-07-10 07:35:43.448544,104.0
2017-08-16 15:30:41.042597,822.0
2017-08-09 10:55:32.081416,198.0
2017-07-01 18:26:25.486135,34.0
2017-08-06 02:35:53.995642,288.0
2017-07-23 02:35:47.036664,763.0
2017-09-22 19:37:19.087464,676.0
2017-07-14 07:05:36.797370,321.0
2017-07-06 13:30:53.006334,271.0
2017-07-24 04:11:06.409609,340.0
2017-07-07 19:00:50.767466,142.0
2017-07-17 19:10:43.841248,1045.0
2017-07-14 18:50:28.122869,130.0
2017-08-04 10:05:43.741699,1033.0
2017-07-28 09:56:07.254736,1818.0
2017-08-09 18:05:45.897011,842.0
2017-07-20 16:27:12.957297,509.0
2017-08-03 19:20:50.682796,49.0
2017-07-20 05:40:48.076309,1318.0
2017-07-14 21:05:27.712019,512.0
2017-07-12 07:41:04.186745,22.0
2017-09-11 14:25:20.354432,51.0
2017-07-05 20:05:35.153374,359.0
2017-08-04 22:11:08.014332,184.0
2017-09-27 09:20:48.972947,111.0
2017-07-14 20:15:44.362344,961.0
2017-08-02 14:51:04.067433,473.0
